executable,input_size,nb_threads,average_timing,samples_for_avg
./histogram_omp,100000,1,0.00015262388888888888,9
./histogram_omp,100000,2,0.0002160151111111111,9
./histogram_omp,100000,4,0.00027747744444444445,9
./histogram_omp,100000,8,0.0003078907777777778,9
./histogram_omp,100000,12,0.00018052333333333333,9
./histogram_omp,100000,16,0.00023707544444444444,9
./histogram_omp,100000,20,0.00018027177777777778,9
./histogram_omp,100000,24,0.014603355555555555,9
./histogram_omp,500000,1,0.0007582177777777778,9
./histogram_omp,500000,2,0.0011060332222222222,9
./histogram_omp,500000,4,0.0010902102222222223,9
./histogram_omp,500000,8,0.0007633756666666667,9
./histogram_omp,500000,12,0.0009328586666666667,9
./histogram_omp,500000,16,0.000889973,9
./histogram_omp,500000,20,0.0006367032222222223,9
./histogram_omp,500000,24,0.01416740111111111,9
./histogram_omp,1000000,1,0.0015111973333333333,9
./histogram_omp,1000000,2,0.0020119931111111113,9
./histogram_omp,1000000,4,0.0017207877777777778,9
./histogram_omp,1000000,8,0.0014458854444444446,9
./histogram_omp,1000000,12,0.001720920222222222,9
./histogram_omp,1000000,16,0.0015838297777777777,9
./histogram_omp,1000000,20,0.001179301888888889,9
./histogram_omp,1000000,24,0.002167627222222222,9
./histogram_omp,5000000,1,0.0075850572222222225,9
./histogram_omp,5000000,2,0.00918690911111111,9
./histogram_omp,5000000,4,0.008028773444444444,9
./histogram_omp,5000000,8,0.006495522444444445,9
./histogram_omp,5000000,12,0.009303714555555556,9
./histogram_omp,5000000,16,0.008093925111111112,9
./histogram_omp,5000000,20,0.005864193444444445,9
./histogram_omp,5000000,24,0.005626792222222222,9
./histogram_omp,10000000,1,0.015115767777777777,9
./histogram_omp,10000000,2,0.018948462222222223,9
./histogram_omp,10000000,4,0.016509796666666667,9
./histogram_omp,10000000,8,0.011136983333333333,9
./histogram_omp,10000000,12,0.009692316999999999,9
./histogram_omp,10000000,16,0.013483473888888889,9
./histogram_omp,10000000,20,0.01467169111111111,9
./histogram_omp,10000000,24,0.008825814888888887,9
